0,0.07621,0.15551,0.13491,0.084449,0.082389,0.038105,0.07415,0.058702,0.08033,0.21524
0.12202,0,0.1994,0.14435,0.017857,0.11607,0.089286,0.074405,0.071429,0.049107,0.11607
0.097244,0.060842,0,0.15393,0.086843,0.15705,0.089444,0.098284,0.11388,0.076443,0.066043
0.069393,0.057621,0.16976,0,0.022305,0.21871,0.030979,0.12639,0.056382,0.18835,0.060099
0.162,0.036,0.278,0.056,0,0.052,0.036,0.052,0.178,0.102,0.048
0.080498,0.070539,0.22656,0.27137,0.028216,0,0.039834,0.12614,0.054772,0.058921,0.043154
0.06281,0.12727,0.27934,0.089256,0.029752,0.071074,0,0.038017,0.2281,0.029752,0.044628
0.10337,0.056911,0.19977,0.22648,0.022067,0.17886,0.025552,0,0.047619,0.11614,0.023229
0.067429,0.051429,0.30743,0.086857,0.11314,0.069714,0.15543,0.04,0,0.052571,0.056
0.079781,0.021858,0.17814,0.34098,0.037158,0.086339,0.015301,0.1377,0.038251,0,0.064481
0.32806,0.080369,0.1581,0.12385,0.027668,0.076416,0.032938,0.031621,0.043478,0.097497,0
