0,0.22835,0.047486,0.043994,0.21439,0.026536,0.094972,0.11941,0.071927,0.043994,0.068436,0.040503
0.28921,0,0.090219,0.086847,0.089376,0.025295,0.071669,0.086847,0.039629,0.037099,0.11383,0.069983
0.18452,0.19643,0,0.039683,0.083333,0.025794,0.095238,0.061508,0.031746,0.055556,0.06746,0.15873
0.089032,0.15742,0.04,0,0.08129,0.021935,0.077419,0.04129,0.089032,0.051613,0.29935,0.051613
0.23178,0.07907,0.034884,0.054264,0,0.056589,0.10543,0.11473,0.084496,0.1093,0.083721,0.045736
0.049734,0.055062,0.015986,0.047957,0.13677,0,0.1048,0.0373,0.11012,0.28952,0.055062,0.097691
0.14685,0.09514,0.061013,0.069286,0.11892,0.061013,0,0.10962,0.058945,0.097208,0.085832,0.096174
0.23439,0.1121,0.028025,0.044586,0.2,0.026752,0.13885,0,0.075159,0.050955,0.070064,0.019108
0.16011,0.078652,0.026685,0.10112,0.1264,0.078652,0.091292,0.087079,0,0.060393,0.14045,0.049157
0.048269,0.052466,0.034627,0.056663,0.15425,0.16264,0.094439,0.044071,0.058762,0,0.12172,0.17209
0.097166,0.13765,0.037449,0.21457,0.10931,0.025304,0.068826,0.058704,0.080972,0.11235,0,0.057692
0.085979,0.11508,0.11376,0.056878,0.074074,0.075397,0.12831,0.02381,0.043651,0.21296,0.070106,0
